"video_id","video_title","upload_date","view_count","like_count","comment_count","duration"
"iyC8DDJkB14","El Método Rebord #61 - Leila Guerriero","2023-06-16","0","100","21","150"
"9IZMGSA5nIc","El Método Rebord #60 - Connie Ballarini","2023-06-11","126375","3762","284","122"
"4VqppQe95n4","Martín Garabal recuerda la única pelea que tuvo","2023-06-11","2974","103","6","8"
"PzwsCBPqHZw","¿La cultura de la cancelación mata al arte?","2023-06-11","6682","222","22","14"
"YZlznvvKM4w","¿Qué pasó con Últimos Cartuchos?","2023-06-11","52878","1163","89","27"
"kXXiKR17izQ","Garabal analiza lo TRASCENDENTE Y EFÍMERO","2023-06-11","2649","55","3","11"
"p4xavsp5PRg","El Método Rebord #59 - Martín Garabal","2023-06-04","406196","12023","746","118"
"PyXvRvnx-_0","Beder y Rebord hablando sobre literatura","2023-06-04","2906","109","8","25"
"7hcNRn70G2Y","Germán Beder y su cercanía con el basket y la Selección Nacional","2023-06-04","5122","160","4","15"
"R8q20WNYjeU","EL ÉXITO DETRÁS DE PAREN LA MANO","2023-06-04","6217","226","7","20"
"5QI_ZtIflRk","El Método Rebord #58 - Germán Beder","2023-05-28","585615","24637","1459","137"
"QtCD6CKLrjE","Julio de Vido analiza el PASADO Y PRESENTE del kirchnerismo","2023-05-28","7255","130","33","67"
"kXPbHRTzlkA","Colombofilia: Julio de Vido es FANÁTICO DE LAS PALOMAS","2023-05-28","1407","41","3","9"
"1wH1VhsMZ1E","Julio de Vido cuenta cómo fue su experiencia preso en la cárcel","2023-05-28","3179","63","10","29"
"r_TyxZwONoI","El Método Rebord #57 - Julio de Vido","2023-05-21","191907","4855","783","141"
"rLeLYIn4vg0","Andy Chango sobre cómo fue encarnar a Charly García en El Amor Después del Amor","2023-05-20","64146","1771","78","20"
"MczvKbM-sOE","Andy Chango CASI MUERE desintoxicándose","2023-05-19","100433","2631","215","27"
"wJr-YaFGwMI","Andy Chango y el emotivo recuerdo de su padre","2023-05-19","15950","352","18","21"
"h3HtBhArO1Q","El Método Rebord #56 - Andy Chango","2023-05-14","489679","13156","1547","159"
"hJFzp40Ucz4","JORDAN O LEBRON: ¿QUIÉN ES EL GOAT?","2023-05-12","135734","4480","839","14"
"pGY38o4V-xA","Azzaro, internet y el FUTURO DEL PERIODISMO DEPORTIVO","2023-05-12","23311","506","35","17"
"KRGJxvFTod4","LA SCALONETA y el periodismo deportivo","2023-05-12","33624","997","41","10"
"rk7CUgNGoIg","LA TRANSFORMACIÓN DE MESSI que hizo a ARGENTINA CAMPEÓN","2023-05-12","59066","2026","66","9"
"TsyvXDVbnCQ","El Método Rebord #55 - Juan Pablo Varsky","2023-05-07","295420","7423","474","133"
"fM890xEotWQ","Migue Granados y la INFANCIA NOVENTISTA que no fue...","2023-05-05","27914","624","35","11"
"u7Z91JY5CM0","¿Qué pasó con Últimos Cartuchos?","2023-05-05","106092","2604","120","12"
"88jXlnjoRDA","¿Cómo se lleva Migue Granados con las redes?","2023-05-05","7695","169","6","13"
"VbGpSf_S4qQ","&quot;YAYO Y VERNACI TE DEJAN HACER EL GOL Y SIGUEN SIENDO ELLOS&quot;","2023-05-05","40693","782","40","7"
"FUP9hkeHVIU","URGENTE: YOUTUBE NOS MANDÓ ESTA CARTA","2023-05-02","82439","7973","461","2"
